record,type,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_st_interval,0_qrs_morph0,0_qrs_morph1,0_qrs_morph2,0_qrs_morph3,0_qrs_morph4,1_pre-RR,1_post-RR,1_pPeak,1_tPeak,1_rPeak,1_sPeak,1_qPeak,1_qrs_interval,1_pq_interval,1_qt_interval,1_st_interval,1_qrs_morph0,1_qrs_morph1,1_qrs_morph2,1_qrs_morph3,1_qrs_morph4
202,SVEB,201,58,0.5703519227860272,0.6167946962329223,0.32504456870796394,0.8437484700462337,0.08539216631649693,172,210,108,471,0.4213257793715748,0.07968218260334625,-0.5631191255663328,-0.294862287331662,0.11620400403468234,11,135,-0.8382933473345695,0.016397553481437344,-0.20485595782495536,0.9643366866588712,0.6933222844766118,482,172,313,469,-0.2138045506664792,-0.9513680671370923,0.9333096380873391,0.392059593349946,0.40496816797421853
535,SVEB,453,484,-0.6006524356832805,-0.39077246165325863,-0.3765778478211781,-0.823014995896161,-0.7181515500504747,428,337,181,140,-0.7782183583763373,-0.5938775505304612,-0.16698010425926757,-0.39043748368394193,-0.19232765788391837,139,139,-0.2606910878771911,0.39162561358176373,0.03550270105496023,0.03327178254202856,0.7126485837561849,108,217,413,452,0.7840931103542266,0.29094459181433563,0.9272399541785057,0.14012234017872993,-0.28101769756048967
960,SVEB,286,68,0.02846887682722321,-0.8046557719872323,0.040136042355621626,-0.6080342751617096,0.6043939615080793,298,277,369,266,-0.12132699626845977,0.885707141115962,0.7665605178377366,-0.6706882937141165,-0.8702155057820369,229,62,-0.5156801234451482,0.7167176096274397,0.675420211814656,-0.47834165033918197,-0.19098374575561983,162,454,393,380,0.2622772519945258,-0.6457786411859021,0.7060189109347201,-0.8056470124584629,-0.4128163114710133
370,F,170,179,0.18482913772408494,0.3684660530243138,0.0934205586865593,-0.9095454221789239,-0.8508987126404584,388,427,223,14,-0.5965615953292076,0.197730932977072,-0.3513099579894521,0.06817883875088393,-0.4921691721313106,63,181,0.6062795127597917,-0.3480821895962305,0.35138023407856145,0.9925073995158487,0.7755401975219196,358,178,401,479,0.5896226070832968,0.8809171687058286,-0.4111022158608286,0.23001445339833948,0.6187223109570272
206,VEB,469,485,-0.9070991745600046,-0.1196950125207974,-0.6302910889489459,-0.3493393384734713,0.9737738732010346,270,42,484,227,0.7915271913470387,0.38956986607940913,-0.7558240905986533,-0.030340057282033595,-0.5062478743227976,352,227,-0.05939873110792315,-0.5595179048689034,0.47043223848154425,0.9308387025775873,0.7018568975350254,411,493,144,384,0.005274186210384224,0.9078571540051747,-0.22980454279614948,0.9801077002085266,0.6202267893583615
171,SVEB,323,197,0.21508970380287673,-0.7559235303104423,0.9391692555291171,-0.22264542062103598,0.5444895385933148,499,57,44,264,-0.0492595536357765,0.7609356780305154,-0.2874043238460502,0.3848720657805407,0.3926085456795767,494,169,0.9668462817896859,0.42229906487603563,-0.5818567585245726,0.11658690721419518,0.8712699884418951,393,170,204,31,0.15380776925271822,0.829728780440897,0.7022733430337138,-0.7198319695269519,0.7341446371602074
800,F,31,473,-0.6589517526254169,-0.00964617977745963,0.5502656467222291,-0.4573019364522082,-0.6025686369316552,240,416,458,407,0.12655114395276734,0.2487080962675865,0.8136568830915081,-0.46117533240295705,0.42454117984888406,233,207,-0.20235111511089388,0.6190020922794308,0.08289594765513164,0.7652726863786794,0.5706813022278872,375,77,410,247,-0.0149646123622722,-0.2596825994891112,-0.36615598968744467,0.036659304727473474,0.8264811051129426
120,Q,262,280,-0.869896814029441,-0.9312229577695632,0.8789978831283782,0.6574750183038587,-0.9889557657527952,50,71,236,368,0.391032172852255,-0.408732628324572,-0.45573550123072937,-0.5117489555044517,-0.7038261400932002,234,425,0.6328637464387679,-0.30266802541654125,0.39156879869016437,-0.6225857833172412,0.33797650942845725,347,298,137,167,-0.609514024403911,-0.9690867669422651,-0.661014506627815,0.7547461438559109,0.022684797721875594
714,VEB,245,199,0.8977710745066665,0.8186408041575641,0.7896547008552977,-0.28649334661282144,0.6309228569096683,37,225,110,292,-0.7213370911882486,-0.7890114803394588,0.29538024108272465,-0.6634179156541389,0.9954809700978837,394,256,0.5966902499691022,-0.8076468978171585,-0.5428999564054007,-0.44225729481563625,0.16137324287290933,203,407,42,47,0.44490423052301065,0.8566371251754508,0.11360252491670031,0.4815372355084089,0.0030325893743992083
221,Q,354,455,0.9312640661491187,-0.48244003679996617,0.19579995762217028,-0.4381309806252385,0.41371468769523423,144,302,440,402,0.2088347585556345,-0.08693085903417952,-0.9989592460093684,-0.5624715608538595,-0.46643797144943,412,333,-0.6985649120691411,0.881046528979208,-0.6500901458081276,0.4007156599455426,-0.25543446687651383,319,286,185,239,-0.4384552751182884,-0.14363170336537134,0.8723095483215619,0.39403148199053595,0.5965903579335503
